date,ingredient,unit,shelf_life_days,supplier_lead_time_days,pack_price_rs,opening_stock,consumption_mean_7d,consumption_std_7d,consumption_mean_14d,consumption_mean_28d,consumption_trend,volatility_ratio,coverage_days,days_since_purchase,incoming_qty_7d,day_of_week,month,festival_effect,is_monsoon,stockout_today,days_to_stockout,risk_class
2025-03-03,Bread Loaf,pcs,3,1,75,22.379,7.3987,1.7201,7.1744,5.6808,1.3024,0.2325,3.0247,2,59.0,0,3,none,0,0,4,WATCH
2025-03-03,Buff Mince,kg,3,1,480,16.5643,6.1565,2.9849,4.5989,4.2874,1.436,0.4848,2.6905,2,53.0,0,3,none,0,0,4,WATCH
2025-03-03,Burger Bun,pcs,4,1,30,0.0,14.2467,13.9335,19.5707,18.4938,0.7703,0.978,0.0,5,143.0,0,3,none,0,1,1,URGENT
2025-03-03,Butter,kg,60,3,780,3.0,0.2146,0.1513,0.2828,0.3131,0.6855,0.7051,13.9765,0,4.0,0,3,none,0,0,26,SAFE
2025-03-03,Cabbage,kg,8,1,60,0.0,9.0147,4.0156,9.5001,9.434,0.9556,0.4455,0.0,8,91.0,0,3,none,0,1,21,SAFE
2025-03-03,Cardamom,kg,240,6,3200,0.6817,0.0592,0.0144,0.0577,0.0536,1.1055,0.2437,11.513,21,0.0,0,3,none,0,0,12,SAFE
2025-03-03,Cheese Slice,pcs,30,3,22,116.2342,56.0901,14.0846,56.0109,54.5532,1.0282,0.2511,2.0723,6,507.0,0,3,none,0,0,2,URGENT
2025-03-03,Chicken Breast,kg,3,1,420,0.0,1.1878,2.9094,3.7502,3.2692,0.3633,2.4495,0.0,8,55.0,0,3,none,0,1,4,WATCH
2025-03-03,Chocolate Cake,pcs,4,2,900,11.0,1.9025,1.2595,1.7646,1.5915,1.1954,0.662,5.7818,1,0.0,0,3,none,0,0,3,URGENT
2025-03-03,Cocoa Powder,kg,240,5,1200,9.9986,0.5365,0.3744,0.6082,0.566,0.9479,0.6978,18.6379,1,0.0,0,3,none,0,0,15,SAFE
2025-03-03,Coffee Beans,kg,120,5,1800,65.8748,1.68,1.7098,2.8576,3.2731,0.5133,1.0177,39.2115,1,25.0,0,3,none,0,0,21,SAFE
2025-03-03,Cooking Oil,L,180,3,210,39.0,3.7184,1.604,4.0249,4.1872,0.888,0.4314,10.4884,0,0.0,0,3,none,0,0,8,SAFE
2025-03-03,Croissant (frozen),pcs,45,4,55,213.3423,6.0729,7.3617,10.4767,11.5305,0.5267,1.2122,35.1305,2,69.0,0,3,none,0,0,36,SAFE
2025-03-03,Eggs,pcs,21,2,18,140.8852,29.7811,6.997,28.8367,28.4766,1.0458,0.2349,4.7307,4,187.0,0,3,none,0,0,37,SAFE
2025-03-03,Ginger,kg,14,1,180,5.259,0.3468,0.0832,0.3432,0.3078,1.1267,0.2398,15.1641,5,0.0,0,3,none,0,0,9,SAFE
